firm,year,pat_any,lgspilltec1,lgspillsic1,lgmalspilltec1,lgmalspillsic1,lgrd1,lsales1,lgrd1_dum
11,1986,0,8.372284,3.854553,9.847708,4.580751,-1,2.772589,1
11,1987,0,8.449307,3.865097,9.912766,4.603821,-1,2.944439,1
11,1988,0,8.521035,3.783455,9.970201,4.548618,-1,3.044523,1
11,1989,0,8.592683,3.70901,10.02948,4.499956,-1,2.995732,1
11,1990,0,8.660799,3.651858,10.08832,4.466264,-1,3.135494,1
11,1991,0,8.721574,3.627511,10.1395,4.459548,-1,2.995732,1
11,1992,0,8.778255,3.59345,10.18665,4.441495,-1,2.995732,1
11,1993,0,8.827439,3.594076,10.22961,4.455293,-1,3.091043,1
11,1994,0,8.863715,3.60678,10.26296,4.478686,-1,3.295837,1
11,1995,0,8.90286,3.621752,10.29216,4.500433,-1,3.583519,1
11,1996,0,8.943783,3.64295,10.33819,4.523574,-1,3.526361,1
11,1997,0,8.980043,3.678165,10.36877,4.557342,-1,3.713572,1
11,1998,0,9.024149,3.684055,10.41073,4.571056,-1,3.713572,1
11,1999,0,9.055806,3.660599,10.45283,4.567226,-1,3.73767,1
11,2000,0,9.08561,3.642351,10.48417,4.574162,-1,3.7612,1
11,2001,0,9.088273,3.607907,10.50364,4.621341,-1,3.663562,1
12,1983,1,9.817053,8.877075,11.26806,9.21182,4.506029,4.043051,0
12,1984,1,9.826968,8.907382,11.275,9.239714,4.467522,4.189655,0
12,1985,1,9.888023,8.974914,11.3287,9.300491,4.445802,4.488636,0
12,1986,1,9.948054,9.046062,11.38121,9.366199,4.422858,4.553877,0
12,1987,1,10.01549,9.108629,11.44207,9.429259,4.432145,4.727388,0
12,1988,1,10.07766,9.183049,11.49682,9.499231,4.465488,4.941642,0
12,1989,1,10.13874,9.255291,11.55302,9.569408,4.528495,5.17615,0
12,1990,1,10.20042,9.322016,11.61114,9.638226,4.608587,5.129899,0
12,1991,1,10.25121,9.395234,11.65844,9.708294,4.67519,5.17615,0
12,1992,1,10.29964,9.460475,11.70325,9.770659,4.731547,5.187386,0
12,1993,1,10.34127,9.527049,11.74254,9.833672,4.75401,5.09375,0
12,1994,1,10.37824,9.612659,11.77562,9.908759,4.786716,5.129899,0
12,1995,1,10.41484,9.709555,11.8049,9.991151,4.827,5.267858,0
12,1996,1,10.48839,9.83351,11.86889,10.10627,4.887442,5.594711,0
12,1997,1,10.53251,9.975265,11.90595,10.23324,4.946785,5.393628,0
12,1998,1,10.59662,10.12874,11.9619,10.37601,5.030203,5.529429,0
12,1999,0,10.67146,10.25489,12.02491,10.49914,5.128583,5.552959,0
13,1985,0,9.356196,4.462454,11.16467,5.467216,-1,3.688879,1
13,1986,1,9.353742,4.462711,11.16137,5.46753,.3052867,3.73767,0
13,1987,0,9.367625,4.473414,11.17261,5.474456,.9087528,4.174387,0
13,1988,0,9.383111,4.500399,11.18506,5.493272,.7462339,4.532599,0
13,1989,0,9.405939,4.528314,11.20526,5.522369,.583715,4.543295,0
13,1990,0,9.431908,4.547749,11.23116,5.551153,.421196,4.60517,0
13,1991,0,9.456567,4.557946,11.25566,5.582174,.2586771,4.70048,0
13,1992,0,9.480304,4.56076,11.27953,5.60575,.0961582,4.836282,0
13,1993,0,9.504116,4.555188,11.3033,5.6328,-.0663607,4.85203,0
13,1994,0,9.523943,4.561988,11.32267,5.669953,-.2288797,5.135798,0
13,1995,1,9.54158,4.584225,11.34117,5.726213,-.3913987,5.361292,0
13,1996,1,9.576198,4.605645,11.37982,5.791026,-.5539176,5.393628,0
13,1997,1,9.600636,4.630257,11.408,5.853972,-.7164366,5.545177,0
13,1998,0,9.63442,4.659381,11.44677,5.926119,-.8789555,5.783825,0
13,1999,0,9.671308,4.685356,11.48802,5.999094,-1.041474,6.025866,0
13,2000,0,9.693525,4.724226,11.51576,6.075067,-1.203993,6.09131,0
13,2001,0,9.705799,4.754489,11.53543,6.166989,-1.366512,6.111467,0
14,1987,1,10.46956,4.79165,12.06763,6.588376,4.888667,5.817111,0
14,1988,1,10.45414,4.775778,12.05237,6.57595,4.844498,5.996452,0
14,1989,1,10.44861,4.758173,12.04786,6.571816,4.821815,6.142037,0
14,1990,1,10.45068,4.74619,12.05215,6.572543,4.836099,6.232448,0
14,1991,1,10.45628,4.75317,12.0598,6.583618,4.851143,6.327937,0
14,1992,1,10.46223,4.744527,12.06802,6.583605,4.858097,6.327937,0
14,1993,1,10.471,4.712511,12.07901,6.582528,4.860281,6.345636,0
14,1994,1,10.47637,4.692778,12.08701,6.579113,4.858574,6.318968,0
14,1995,1,10.4793,4.658715,12.0934,6.570725,4.854082,6.342122,0
14,1996,1,10.49468,4.600587,12.11485,6.547249,4.862991,6.481577,0
14,1997,1,10.50521,4.543841,12.1309,6.529338,4.882795,6.54103,0
14,1998,1,10.53552,4.487393,12.1627,6.558882,4.903495,6.565265,0
14,1999,0,10.56779,4.661982,12.19758,6.633361,4.92581,6.583409,0
14,2000,0,10.59581,4.642654,12.22582,6.689007,4.942043,6.656726,0
14,2001,0,10.60353,4.610366,12.24032,6.673682,4.945672,6.74876,0
15,1981,1,8.82132,4.286341,10.87728,6.437752,3.962569,5.978886,0
15,1982,1,8.860628,4.424537,10.91195,6.49048,3.902254,6.070738,0
15,1983,1,8.895348,4.535891,10.94274,6.534216,3.873786,6.056784,0
15,1984,1,8.926682,4.590988,10.97185,6.569448,3.844027,5.869297,0
15,1985,1,8.988296,4.654196,11.02425,6.607193,3.843861,6.059123,0
15,1986,1,9.046967,4.716689,11.07509,6.637374,3.839124,6.2106,0
15,1987,1,9.110156,4.725204,11.13221,6.651974,3.802723,6.357842,0
